Сербский,Русский,Тема,Тип
zdravo,привет / здравствуйте,Приветствия и вежливость,word
izvini,извини,Приветствия и вежливость,word
telefon,телефон,Знакомство,word
komšinica,соседка,Знакомство,word
stolica,стул,Дом,word
autobus,автобус,Город и транспорт,word
saobraćaj,дорожное движение,Город и транспорт,word
supa,суп,Кафе и ресторан,word
kasa,касса,Магазины,word
košulja,рубашка,Магазины,word
plata,зарплата,Работа,word
kopija,копия,Документы и ВНЖ,word
rok važenja,срок действия,Документы и ВНЖ,word
kašalj,кашель,Здоровье,word
toplo,тепло,Погода и время,word
minut,минута,Погода и время,word
odgovor,ответ,Учёба,word
stub,колонна,Архитектура и реставрация,word
umoran,уставший,Эмоции и характер,word
slobodan,свободный,Эмоции и характер,word
punjač,зарядное устройство,Технологии,word
živeti,жить,Глаголы,word
čekati,ждать,Глаголы,word
jesti,есть,Глаголы,word
objasniti,объяснить,Глаголы,word
zaboraviti,забыть,Глаголы,word
odbiti,отказать,Глаголы,word
predstaviti,представить,Глаголы,word
težak,трудный / тяжёлый,Прилагательные,word
hladan,холодный,Прилагательные,word
autentičan,аутентичный,Прилагательные,word
loše,плохо,Наречия,word
ponovo,снова,Наречия,word
ništa posebno,ничего особенного,Современный разговорный сербский,colloquial
ne može,нельзя / не подходит,Современный разговорный сербский,colloquial
blejati,тусоваться / бездельничать,Современный разговорный сербский,colloquial
snaći ćemo se,разберёмся,Современный разговорный сербский,colloquial
Ona živimo.,Она живём.,Грамматика: настоящее время,grammar_example
Mi učite.,Мы учите.,Грамматика: настоящее время,grammar_example
Vi gledaju.,Вы смотрят.,Грамматика: настоящее время,grammar_example
Ja idem.,Я иду.,Грамматика: настоящее время,grammar_example
"Stvarno, ma daj.","Правда, да ладно.",Современный разговорный сербский,colloquial
"Pa, čujemo se.","Ну, созвонимся.",Современный разговорный сербский,colloquial
"Pa, stvarno?.","Ну, правда?.",Современный разговорный сербский,colloquial
"Stvarno, ne može.","Правда, нельзя / не подходит.",Современный разговорный сербский,colloquial
"Pa, bez veze.","Ну, глупо / ни о чём.",Современный разговорный сербский,colloquial
"Pa, riba.","Ну, девушка (сленг).",Современный разговорный сербский,colloquial
"Stvarno, frka.","Правда, проблема / паника.",Современный разговорный сербский,colloquial
"Pa, nemoj zezati.","Ну, не шути.",Современный разговорный сербский,colloquial
Ja radim u kancelariji.,Я работаю в офисе.,Контролируемые разговорные фразы,phrase
Ja radim u timu.,Я работаю в команде.,Контролируемые разговорные фразы,phrase
Ti radiš puno.,Ты работаешь много.,Контролируемые разговорные фразы,phrase
On radi od kuće.,Он работает из дома.,Контролируемые разговорные фразы,phrase
On radi na terenu.,Он работает на объекте.,Контролируемые разговорные фразы,phrase
Mi radimo vikendom.,Мы работаем по выходным.,Контролируемые разговорные фразы,phrase
Vi radite sutra.,Вы работаете завтра.,Контролируемые разговорные фразы,phrase
Vi radite u Beogradu.,Вы работаете в Белграде.,Контролируемые разговорные фразы,phrase
Oni rade svakog dana.,Они работают каждый день.,Контролируемые разговорные фразы,phrase
Ja živim u Beogradu.,Я живу в Белграде.,Контролируемые разговорные фразы,phrase
Ja živim na Novom Beogradu.,Я живу в Новом Белграде.,Контролируемые разговорные фразы,phrase
Ti živiš samostalno.,Ты живёшь самостоятельно.,Контролируемые разговорные фразы,phrase
Ti živiš u blizini reke.,Ты живёшь рядом с рекой.,Контролируемые разговорные фразы,phrase
On živi blizu posla.,Он живёт недалеко от работы.,Контролируемые разговорные фразы,phrase
Mi živimo sa porodicom.,Мы живём с семьёй.,Контролируемые разговорные фразы,phrase
Mi živimo u novoj zgradi.,Мы живём в новом здании.,Контролируемые разговорные фразы,phrase
Vi živite u iznajmljenom stanu.,Вы живёте в арендованной квартире.,Контролируемые разговорные фразы,phrase
Oni žive u malom stanu.,Они живут в небольшой квартире.,Контролируемые разговорные фразы,phrase
Oni žive u staroj kući.,Они живут в старом доме.,Контролируемые разговорные фразы,phrase
Ja govorim o projektu.,Я говорю о проекте.,Контролируемые разговорные фразы,phrase
Ti govoriš polako.,Ты говоришь медленно.,Контролируемые разговорные фразы,phrase
Ti govoriš telefonom.,Ты говоришь по телефону.,Контролируемые разговорные фразы,phrase
On govori o poslu.,Он говорит о работе.,Контролируемые разговорные фразы,phrase
Mi govorimo engleski.,Мы говорим по-английски.,Контролируемые разговорные фразы,phrase
Mi govorimo otvoreno.,Мы говорим открыто.,Контролируемые разговорные фразы,phrase
Vi govorite sa klijentom.,Вы говорите с клиентом.,Контролируемые разговорные фразы,phrase
Oni govore ruski.,Они говорят по-русски.,Контролируемые разговорные фразы,phrase
Oni govore ozbiljno.,Они говорят серьёзно.,Контролируемые разговорные фразы,phrase
Ja učim u biblioteci.,Я учу в библиотеке.,Контролируемые разговорные фразы,phrase
Ti učiš srpski.,Ты учишь сербский язык.,Контролируемые разговорные фразы,phrase
Ti učiš razgovorne fraze.,Ты учишь разговорные фразы.,Контролируемые разговорные фразы,phrase
On uči kod kuće.,Он учит дома.,Контролируемые разговорные фразы,phrase
On uči već mesec dana.,Он учит уже месяц.,Контролируемые разговорные фразы,phrase
Mi učimo nove izraze.,Мы учим новые выражения.,Контролируемые разговорные фразы,phrase
Vi učite ujutru.,Вы учите по утрам.,Контролируемые разговорные фразы,phrase
Vi učite zajedno.,Вы учите вместе.,Контролируемые разговорные фразы,phrase
